,Value
1582,74.0
1583,80.0
1584,154.0
1585,20.6
1586,19.4
1587,19.8
1588,13.0
1589,21.0
1590,34.0
1591,11.3
1592,9.7
1593,10.5
1594,8572.0
1595,8311.0
1596,16883.0
1597,10.2
1598,8.4
1599,9.2
1600,6623.0
1601,6287.0
1602,12910.0
1603,18.6
1604,18.4
1605,18.5
1606,1949.0
1607,2024.0
1608,3973.0
1609,10.6
1610,9.8
1611,10.2
1612,8013.0
1613,8329.0
1614,16342.0
1615,9.6
1616,8.6
1617,9.1
1618,6294.0
1619,6442.0
1620,12736.0
1621,18.0
1622,19.1
1623,18.6
1624,1719.0
1625,1887.0
1626,3606.0
1645,6.2
1646,6.2
1647,6.2
1648,132.0
1649,149.0
1650,281.0
1651,5.8
1652,5.6
1653,5.7
1654,111.0
1655,119.0
1656,230.0
1657,8.6
1658,11.0
1659,9.8
1660,21.0
1661,30.0
1662,51.0
1663,4.7
1664,6.0
1665,5.4
1666,102.0
1667,146.0
1668,248.0
1669,4.1
1670,5.3
1671,4.7
1672,78.0
1673,115.0
1674,193.0
1675,9.6
1676,12.1
1677,10.9
1678,23.0
1679,31.0
1680,55.0
1681,4.7
1682,6.0
1683,5.4
1684,102.0
1685,146.0
1686,248.0
1687,4.1
1688,5.3
1689,4.7
1690,78.0
1691,115.0
1692,193.0
1693,9.6
1694,12.1
1695,10.9
1696,23.0
1697,31.0
1698,55.0
1699,5.0
1700,5.5
1701,5.3
1702,119.0
1703,150.0
1704,269.0
1705,4.3
1706,4.9
1707,4.7
1708,95.0
1709,124.0
1710,219.0
1711,13.5
1712,11.9
1713,12.6
1714,24.0
1715,24.0
1716,48.0
1717,5.1
1718,5.9
1719,5.5
1720,123.0
1721,159.0
1722,282.0
1723,4.4
1724,5.1
1725,4.8
1726,96.0
1727,129.0
1728,225.0
1729,13.8
1730,12.3
1731,13.0
1732,26.0
1733,26.0
1734,52.0
1735,5.1
1736,5.8
1737,5.5
1738,123.0
1739,159.0
1740,281.0
1741,4.4
1742,5.1
1743,4.8
1744,96.0
1745,129.0
1746,225.0
1747,13.8
1748,12.3
1749,13.0
1750,26.0
1751,26.0
1752,52.0
1753,3.9
1754,4.5
1755,4.2
1756,61.0
1757,82.0
1758,143.0
1759,3.6
1760,4.2
1761,3.9
1762,55.0
1763,72.0
1764,128.0
1765,10.2
1766,9.7
1767,9.9
1768,6.0
1769,9.0
1770,15.0
1771,4.1
1772,4.6
1773,4.4
1774,64.0
1775,83.0
1776,147.0
1777,3.9
1778,4.3
1779,4.1
1780,58.0
1781,74.0
1782,132.0
1783,10.7
1784,9.7
1785,10.1
1786,6.0
1787,9.0
1788,15.0
1789,4.1
1790,4.6
1791,4.4
1792,64.0
1793,83.0
1794,147.0
1795,3.9
1796,4.3
1797,4.1
1798,58.0
1799,74.0
1800,132.0
1801,10.7
1802,9.7
1803,10.1
1804,6.0
1805,9.0
1806,15.0
1807,4.4
1808,4.8
1809,4.6
1810,99.0
1811,125.0
1812,224.0
1813,4.1
1814,4.1
1815,4.1
1816,82.0
1817,95.0
1818,177.0
1819,6.7
1820,10.5
1821,8.7
1822,17.0
1823,30.0
1824,47.0
1825,4.7
1826,5.0
1827,4.8
1828,106.0
1829,129.0
1830,235.0
1831,4.2
1832,4.4
1833,4.3
1834,84.0
1835,102.0
1836,186.0
1837,8.4
1838,9.5
1839,9.0
1840,22.0
1841,27.0
1842,49.0
1843,4.6
1844,5.0
1845,4.8
1846,104.0
1847,129.0
1848,233.0
1849,4.2
1850,4.4
1851,4.3
1852,84.0
1853,102.0
1854,186.0
1855,7.9
1856,9.3
1857,8.6
1858,21.0
1859,27.0
1860,48.0
1861,6.6
1862,6.8
1863,6.7
1864,14.0
1865,16.0
1866,30.0
1867,5.9
1868,5.6
1869,5.7
1870,11.0
1871,12.0
1872,24.0
1873,14.1
1874,21.8
1875,17.8
1876,2.0
1877,4.0
1878,6.0
1879,7.2
1880,7.5
1881,7.4
1882,15.0
1883,18.0
1884,33.0
1885,6.1
1886,6.3
1887,6.3
1888,12.0
1889,14.0
1890,26.0
1891,18.4
1892,21.4
1893,19.8
1894,3.0
1895,3.0
1896,7.0
1897,7.3
1898,7.4
1899,7.4
1900,15.0
1901,18.0
1902,33.0
1903,6.1
1904,6.3
1905,6.2
1906,12.0
1907,14.0
1908,26.0
1909,18.7
1910,21.4
1911,20.0
1912,3.0
1913,3.0
1914,7.0
1915,2.7
1916,2.4
1917,2.6
1918,65.0
1919,73.0
1920,138.0
1921,2.3
1922,2.2
1923,2.2
1924,53.0
1925,62.0
1926,115.0
1927,11.6
1928,7.0
1929,8.8
1930,12.0
1931,11.0
1932,23.0
1933,2.9
1934,2.5
1935,2.7
1936,68.0
1937,75.0
1938,143.0
1939,2.5
1940,2.2
1941,2.4
1942,57.0
1943,64.0
1944,121.0
1945,10.6
1946,7.3
1947,8.6
1948,10.0
1949,12.0
1950,22.0
1951,2.9
1952,2.3
1953,2.6
1954,68.0
1955,69.0
1956,137.0
1957,2.5
1958,2.0
1959,2.3
1960,58.0
1961,57.0
1962,115.0
1963,10.5
1964,7.1
1965,8.4
1966,10.0
1967,11.0
1968,22.0
1969,4.5
1970,4.4
1971,4.5
1972,925.0
1973,1045.0
1974,1970.0
1975,4.3
1976,4.1
1977,4.2
1978,787.0
1979,880.0
1980,1666.0
1981,7.2
1982,6.9
1983,7.1
1984,138.0
1985,165.0
1986,303.0
1987,4.3
1988,4.3
1989,4.3
1990,881.0
1991,1024.0
1992,1905.0
1993,4.1
1994,4.2
1995,4.1
1996,769.0
1997,888.0
1998,1657.0
1999,5.8
2000,5.7
2001,5.7
2002,112.0
2003,136.0
2004,249.0
2005,4.3
2006,4.3
2007,4.3
2008,881.0
2009,1024.0
2010,1905.0
2011,4.1
2012,4.2
2013,4.1
2014,769.0
2015,888.0
2016,1657.0
2017,5.8
2018,5.7
2019,5.7
2020,112.0
2021,136.0
2022,249.0
2023,6.2
2024,5.5
2025,5.8
2026,88.0
2027,88.0
2028,176.0
2029,5.3
2030,4.1
2031,4.7
2032,64.0
2033,56.0
2034,120.0
2037,12.7
2040,56.0
2041,6.4
2042,5.7
2043,6.0
2044,90.0
2045,91.0
2046,181.0
2047,5.6
2048,4.3
2049,4.9
2050,67.0
2051,59.0
2052,126.0
2055,12.6
2058,55.0
2059,6.0
2062,85.0
2063,86.0
2064,171.0
2065,5.2
2066,4.2
2067,4.7
2068,62.0
2069,58.0
2070,120.0
2071,10.3
2074,22.0
2075,27.0
2076,50.0
2077,7.2
2078,8.8
2079,8.0
2080,24.0
2081,32.0
2082,56.0
2083,5.8
2084,7.4
2085,6.6
2086,18.0
2087,25.0
2088,42.0
2089,23.7
2090,24.4
2091,24.1
2092,6.0
2093,7.0
2094,13.0
2095,7.2
2096,8.7
2097,8.0
2098,24.0
2099,32.0
2100,56.0
2101,5.8
2102,7.5
2103,6.7
2104,18.0
2105,25.0
2106,43.0
2107,24.3
2108,22.2
2109,23.2
2110,6.0
2111,6.0
2112,13.0
2113,7.2
2114,8.5
2115,7.9
2116,24.0
2117,31.0
2118,55.0
2119,5.8
2120,7.5
2121,6.6
2122,18.0
2123,25.0
2124,43.0
2125,24.2
2126,20.6
2127,22.3
2128,6.0
2129,6.0
2130,12.0
2131,16.6
2132,14.2
2133,15.3
2134,1666.0
2135,1638.0
2136,3303.0
2137,15.1
2138,12.5
2139,13.7
2140,1430.0
2141,1361.0
2142,2791.0
2143,41.9
2144,39.6
2145,40.6
2146,235.0
2147,277.0
2148,512.0
2149,17.1
2150,14.6
2151,15.8
2152,1714.0
2153,1688.0
2154,3402.0
2155,15.5
2156,13.0
2157,14.2
2158,1471.0
2159,1410.0
2160,2882.0
2161,43.2
2162,40.3
2163,41.6
2164,243.0
2165,278.0
2166,520.0
2167,17.1
2168,14.6
2169,15.8
2170,1716.0
2171,1687.0
2172,3403.0
2173,15.5
2174,13.0
2175,14.2
2176,1472.0
2177,1410.0
2178,2882.0
2179,43.3
2180,40.2
2181,41.6
2182,244.0
2183,277.0
2184,521.0
2185,8.3
2186,7.6
2187,7.9
2188,111.0
2189,112.0
2190,223.0
2191,5.9
2192,5.6
2193,5.7
2194,68.0
2195,70.0
2196,138.0
2197,21.8
2198,20.1
2199,20.9
2200,43.0
2201,42.0
2202,85.0
2203,7.2
2204,8.0
2205,7.6
2206,95.0
2207,115.0
2208,210.0
2209,5.7
2210,6.2
2211,6.0
2212,66.0
2213,80.0
2214,146.0
2215,17.8
2216,23.2
2217,20.5
2218,29.0
2219,35.0
2220,64.0
2221,7.2
2222,8.0
2223,7.6
2224,95.0
2225,115.0
2226,210.0
2227,5.7
2228,6.2
2229,6.0
2230,66.0
2231,80.0
2232,146.0
2233,17.8
2234,23.2
2235,20.5
2236,29.0
2237,35.0
2238,64.0
2239,5.8
2240,6.4
2241,6.1
2242,795.0
2243,941.0
2244,1737.0
2245,4.6
2246,5.2
2247,4.9
2248,584.0
2249,689.0
2250,1273.0
2251,18.1
2252,18.8
2253,18.5
2254,211.0
2255,253.0
2256,464.0
2257,6.2
2258,6.9
2259,6.6
2260,863.0
2261,1004.0
2262,1866.0
2263,5.0
2264,5.5
2265,5.2
2266,629.0
2267,726.0
2268,1355.0
2269,20.0
2270,20.5
2271,20.3
2272,234.0
2273,278.0
2274,512.0
2275,6.2
2276,6.9
2277,6.6
2278,861.0
2279,1003.0
2280,1864.0
2281,5.0
2282,5.5
2283,5.2
2284,627.0
2285,726.0
2286,1353.0
2287,20.0
2288,20.5
2289,20.3
2290,234.0
2291,277.0
2292,511.0
2293,8.3
2294,7.2
2295,7.7
2296,69.0
2297,70.0
2298,139.0
2299,7.3
2300,6.1
2301,6.7
2302,57.0
2303,55.0
2304,111.0
2305,24.1
2306,18.7
2307,20.8
2308,13.0
2309,16.0
2310,29.0
2311,9.4
2312,8.3
2313,8.8
2314,80.0
2315,81.0
2316,161.0
2317,8.0
2318,6.6
2319,7.3
2320,63.0
2321,59.0
2322,122.0
2323,26.5
2324,22.4
2325,24.0
2326,16.0
2327,21.0
2328,37.0
2329,9.4
2330,8.3
2331,8.8
2332,80.0
2333,81.0
2334,161.0
2335,8.0
2336,6.6
2337,7.3
2338,63.0
2339,59.0
2340,122.0
2341,26.5
2342,22.4
2343,24.1
2344,16.0
2345,21.0
2346,37.0
2347,5.1
2348,4.6
2349,4.8
2350,106.0
2351,118.0
2352,224.0
2353,4.1
2354,4.0
2355,4.1
2356,81.0
2357,95.0
2358,176.0
2359,18.1
2360,12.8
2361,15.1
2362,25.0
2363,23.0
2364,48.0
2365,5.3
